"ID","bear_score","bee_score","meadow_score","trout_score","eagle_score","rabbit_score","dragonfly_score","fox_score","deer_score","stream_score","wolves_score","dv_score"
88,0,18,3,12,0,0,2,9,8,2,1,7
90,8,9,6,10,10,1,2,6,8,2,0,12
91,10,6,6,4,6,1,3,6,4,3,2,12
92,6,18,21,2,0,1,0,0,12,2,1,7
93,6,6,6,4,12,1,2,9,4,2,1,12
94,2,0,10,4,8,1,9,3,4,3,3,12
97,2,0,0,12,12,1,12,3,0,6,3,7
98,0,24,18,14,0,2,0,0,4,1,1,3
99,8,12,15,2,2,0,0,3,8,2,2,12
100,4,9,10,2,18,1,6,3,0,3,0,12
101,6,6,10,4,8,1,0,3,4,2,3,12
102,0,3,3,14,0,1,10,6,4,5,3,12
104,12,0,6,6,6,0,2,9,4,2,3,12
105,4,9,15,8,6,1,0,12,8,1,0,12
106,8,0,6,4,8,2,8,0,4,4,3,12
107,2,0,0,6,10,2,5,3,12,5,1,12
108,0,3,0,12,8,1,1,12,8,1,3,12
109,10,12,18,4,0,1,0,0,8,4,1,7
110,16,3,3,6,0,1,3,9,0,3,3,12
111,6,3,6,4,4,0,6,6,8,3,2,12
113,6,9,6,10,0,1,12,3,0,6,2,12
114,6,3,6,4,4,1,4,9,8,2,2,12
115,14,9,3,14,8,1,0,0,8,3,0,7
116,12,9,10,2,4,1,2,3,4,2,3,12
117,0,6,6,12,18,3,2,3,8,2,1,12
118,2,3,0,8,6,2,9,9,4,3,2,12
119,14,3,3,12,6,0,2,0,12,2,1,12
120,12,12,10,6,0,1,0,9,4,1,2,12
121,12,3,3,16,10,0,0,3,4,1,2,12
122,12,18,0,4,4,1,3,0,4,3,2,12
123,0,3,3,10,0,1,10,3,12,5,3,12
124,4,24,15,0,12,2,0,3,8,0,1,7
125,4,9,15,10,6,1,2,0,12,2,1,12
127,12,3,0,16,0,1,10,3,8,5,1,12
128,4,12,15,4,8,1,4,3,4,4,1,12
129,0,12,16,4,4,1,0,12,4,1,2,12
130,4,0,10,4,8,3,4,3,8,2,1,12
131,10,6,0,8,8,2,6,6,4,2,1,12
133,6,6,0,10,8,1,6,3,0,6,2,12
135,12,9,6,4,4,1,2,3,16,2,1,12
136,10,6,6,6,12,1,3,3,4,3,2,12
137,2,0,15,4,8,1,0,3,12,1,3,12
139,12,6,6,6,6,1,0,0,16,1,2,12
140,4,9,10,8,2,0,6,9,4,6,0,12
141,10,3,3,4,4,0,9,6,4,3,2,12
143,16,6,3,2,4,0,2,9,8,2,1,12
144,4,6,15,4,8,1,6,6,4,3,1,12
145,0,12,3,8,10,3,2,6,8,2,0,12
146,4,9,15,6,6,1,0,9,14,1,0,12
149,8,6,3,12,10,3,0,0,4,3,2,12
150,0,6,10,6,12,2,0,6,4,3,3,12
153,6,3,0,8,16,2,0,6,12,2,1,12
154,2,0,15,4,6,2,4,6,16,2,0,12
155,10,12,10,8,4,0,2,3,4,2,2,12
156,2,6,10,6,0,0,10,12,0,5,2,7
157,4,6,6,10,8,2,0,9,8,1,2,12
159,4,12,10,4,4,1,2,3,8,2,2,12
160,2,0,3,10,12,1,6,6,12,3,1,12
162,12,18,15,6,8,0,0,3,0,3,1,7
163,6,0,10,12,10,2,0,3,8,3,1,12
164,8,9,6,2,4,0,10,6,0,5,1,12
166,4,6,6,6,8,1,2,9,8,2,1,12
169,4,12,10,8,0,0,12,6,4,4,0,7
172,4,6,0,4,20,2,0,6,8,1,2,12
173,8,3,0,4,8,2,2,6,16,2,1,12
174,4,12,15,0,6,1,2,3,0,2,2,12
176,14,6,6,2,0,3,1,3,12,1,2,12
177,12,12,15,8,4,0,0,0,4,2,3,7
178,4,9,15,4,0,1,0,6,4,3,3,12
179,0,9,15,8,0,1,6,6,4,6,2,12
180,0,3,0,20,0,1,10,6,12,5,0,3
182,10,6,21,4,0,0,1,3,4,1,2,12
183,8,9,3,2,16,3,0,9,8,1,1,12
184,4,9,15,8,12,1,0,6,8,1,2,12
185,4,9,6,4,4,1,4,3,14,4,1,12
187,4,12,10,8,6,1,3,6,4,3,1,12
190,4,0,15,8,8,2,5,3,4,5,1,12
191,6,0,0,6,8,1,2,9,18,2,2,12
192,0,6,10,10,6,1,0,9,8,1,3,12
193,4,9,15,4,0,2,3,6,4,3,2,12
194,2,12,15,4,2,0,4,3,16,2,1,12
195,16,3,3,10,0,1,0,6,12,3,0,7
197,14,6,10,8,14,1,0,0,0,3,3,7
198,4,0,15,4,6,2,0,3,12,3,1,12
200,8,15,10,10,8,2,0,3,0,1,2,12
201,4,18,15,0,0,1,2,6,4,2,4,12
202,6,6,6,18,14,0,0,6,4,1,1,12
204,2,0,15,6,14,1,3,6,0,3,2,12
205,6,9,3,4,8,1,0,9,0,3,3,12
206,8,3,3,8,8,2,8,0,0,4,3,12
209,6,0,15,4,10,1,0,6,8,1,3,12
210,4,6,10,0,12,2,2,6,4,2,2,12
211,8,6,10,6,4,0,3,3,4,3,3,12
212,10,6,0,8,8,1,5,9,4,5,0,12
214,12,0,6,2,12,4,0,6,4,2,1,12
215,4,9,0,12,6,1,10,3,4,5,1,12
216,4,12,10,10,6,1,0,6,8,1,1,12
217,6,3,0,8,24,3,0,9,4,1,2,12
218,6,3,6,10,10,2,6,6,4,3,1,12
219,8,0,0,2,16,2,3,3,12,3,1,12
220,2,0,6,14,0,1,12,12,0,4,1,7
221,12,9,10,18,8,1,0,3,0,1,1,12
222,2,0,6,10,0,2,2,6,16,2,1,12
223,4,6,3,6,4,0,0,12,12,1,2,12
224,0,21,15,0,0,0,5,9,4,5,1,3
225,8,12,0,4,6,1,2,3,8,2,4,12
228,6,0,0,12,24,3,0,6,12,1,1,7
229,6,6,6,6,12,2,0,9,12,2,0,12
230,4,3,3,12,14,1,2,0,16,2,1,12
232,10,6,0,10,14,0,0,9,8,1,1,7
236,4,6,0,6,4,1,5,3,12,5,2,12
237,0,9,6,8,26,2,2,0,8,1,2,12
238,10,6,6,12,8,1,0,6,8,1,0,12
239,10,9,15,2,0,2,1,6,0,1,3,12
240,6,9,15,4,8,1,3,3,4,3,2,12
241,4,9,6,6,8,0,0,12,4,0,3,7
242,12,6,6,8,0,1,2,3,12,2,3,12
243,8,0,10,6,6,1,3,0,8,3,1,12
244,0,12,15,6,6,2,0,3,8,3,2,12
248,0,12,6,6,8,1,0,3,8,5,2,12
249,2,6,6,0,4,1,4,12,8,4,0,12
251,4,0,15,12,10,0,0,9,8,1,1,7
252,14,6,3,2,16,0,0,6,4,1,1,12
253,2,6,10,8,8,2,4,0,8,4,2,12
254,4,6,15,4,12,2,0,9,12,1,0,12
255,4,3,3,6,6,2,4,9,8,4,1,12
258,0,9,15,4,8,1,1,0,8,1,5,12
260,12,6,0,4,4,1,4,6,12,2,2,12
261,4,6,0,0,2,1,6,9,12,3,3,12
262,16,6,0,2,12,1,0,6,8,1,4,12
263,6,9,15,4,0,2,3,6,0,3,3,12
265,6,15,10,6,8,0,0,9,8,1,1,12
266,4,6,10,4,6,0,2,9,8,2,1,12
267,6,12,15,0,2,1,2,9,8,1,1,12
269,2,0,15,6,4,1,6,6,4,6,0,12
270,14,12,10,6,0,2,0,3,8,3,0,7
272,8,12,0,2,4,1,2,12,4,2,3,12
273,6,6,10,4,4,1,6,3,4,3,3,12
274,6,12,15,14,8,2,0,0,8,1,0,7
275,6,12,0,4,0,2,3,3,16,3,2,12
276,8,3,3,12,12,1,0,9,0,2,2,12
277,6,12,10,6,16,2,0,6,8,1,1,12
279,6,3,6,6,16,3,0,3,12,3,1,12
280,6,0,3,6,8,2,2,6,8,2,4,12
281,4,0,6,8,20,3,0,3,8,5,1,12
282,8,6,15,6,0,1,2,3,12,2,2,12
283,12,3,3,8,0,3,2,6,8,1,1,12
284,12,21,15,6,4,0,0,0,8,1,1,7
285,0,3,3,6,20,2,3,9,0,3,2,12
286,2,6,6,8,0,2,7,6,4,7,1,12
288,10,9,6,4,0,1,4,9,8,4,0,12
289,6,6,10,4,14,0,0,3,16,1,2,12
290,0,0,15,12,16,2,6,6,4,3,0,7
291,12,12,0,4,12,4,1,6,0,1,1,12
292,4,15,15,0,0,0,4,0,12,4,1,3
293,8,0,10,4,8,2,6,6,4,3,1,12
294,4,6,6,8,20,2,2,9,0,2,1,12
295,0,12,10,8,4,0,9,3,8,3,2,12
296,2,0,0,10,16,1,3,6,4,3,4,12
297,2,6,10,12,6,1,2,9,8,2,0,12
298,4,0,6,8,18,2,0,6,8,1,3,12
299,2,15,15,0,8,2,0,3,8,3,1,12
300,4,6,0,6,4,1,0,9,16,3,2,12
303,4,0,0,8,6,1,5,3,12,5,4,12
305,0,9,15,6,6,1,2,3,16,2,1,12
307,0,9,0,2,28,3,0,3,8,2,3,7
308,4,3,3,24,8,0,2,3,8,2,1,12
309,10,3,0,10,16,0,4,3,4,4,2,12
311,4,3,0,4,10,4,2,6,12,2,3,12
312,0,12,18,4,4,1,6,3,0,3,2,12
314,4,6,10,6,12,2,6,6,4,3,0,12
318,6,3,3,16,12,1,0,6,14,1,0,12
319,4,15,0,10,8,2,4,0,8,2,2,12
321,6,6,10,2,2,0,1,9,12,1,1,12
322,6,0,0,12,10,1,3,6,8,3,1,12
325,4,3,3,12,4,0,0,9,4,3,4,12
326,6,6,0,4,8,1,0,9,12,4,1,12
327,8,9,6,6,10,1,2,3,8,1,1,12
328,2,0,6,16,10,2,0,0,14,3,1,7
329,10,9,6,10,14,1,0,3,4,1,2,12
331,0,6,6,12,10,2,2,0,14,2,1,12
333,0,6,6,6,2,0,10,6,8,5,3,12
334,6,0,10,8,4,0,15,3,4,5,1,12
335,2,12,10,6,4,1,10,0,0,5,3,12
336,0,0,0,10,16,1,0,12,12,1,3,3
338,4,12,10,2,12,2,4,6,0,2,2,12
339,2,6,6,4,12,2,6,3,8,2,1,12
341,8,18,15,0,6,1,0,6,12,0,0,3
342,12,3,0,8,0,1,12,3,8,6,1,12
343,10,0,6,6,6,1,2,0,12,2,3,12
344,4,0,3,14,14,1,2,6,8,2,2,12
345,6,18,3,4,0,2,4,6,0,2,3,12
346,8,12,10,2,10,1,0,3,8,2,1,12
347,4,18,3,4,16,1,4,3,4,2,0,12
348,0,6,10,10,0,1,5,9,8,5,1,12
350,6,15,3,10,8,2,0,6,4,1,1,12
351,10,3,0,6,8,3,4,9,4,4,1,12
352,8,0,6,6,4,0,8,3,8,4,2,12
353,4,6,6,10,14,1,4,0,4,4,3,12
354,12,0,0,8,12,3,4,3,4,4,2,12
355,6,0,6,14,16,2,0,3,4,1,2,12
356,4,12,6,6,4,1,0,9,8,1,2,12
357,4,3,0,4,16,3,3,6,8,3,3,12
358,14,9,6,10,14,2,3,3,0,3,0,12
359,4,6,10,8,16,3,3,0,8,3,1,12
360,8,6,10,2,4,0,3,3,8,3,1,12
361,6,12,0,6,4,1,0,3,10,1,3,12
362,10,6,15,10,8,0,2,6,4,2,0,12
364,6,6,6,6,4,0,5,0,8,5,1,12
366,4,15,18,0,2,1,0,3,12,1,2,12
367,4,3,6,10,8,3,5,6,4,5,0,12
368,0,0,15,14,18,2,2,3,4,2,1,12
371,6,3,0,10,0,1,8,9,8,4,2,12
372,2,3,0,6,0,1,12,12,16,4,0,7
374,12,12,15,2,0,1,0,3,12,1,2,12
375,8,0,15,6,8,1,0,6,4,1,3,12
376,4,0,6,4,6,1,0,9,14,3,2,12
378,8,15,3,4,6,1,0,12,12,1,0,12
380,6,9,15,6,10,3,4,0,0,4,2,12
381,0,0,3,14,8,2,0,6,16,1,2,7
382,12,15,0,4,4,1,0,6,4,3,2,12
385,14,6,10,6,8,2,2,3,4,2,1,12
386,6,9,10,4,0,3,0,6,4,3,2,12
387,0,9,6,8,0,1,6,12,8,3,1,12
388,4,3,6,6,12,1,0,6,12,1,1,12
389,6,9,0,6,6,2,5,6,8,5,1,12
390,4,9,10,0,0,3,8,3,12,4,0,7
391,8,6,6,6,4,0,6,3,4,6,0,12
392,0,6,0,6,8,1,2,9,16,2,2,12
393,6,15,10,4,6,2,0,12,4,2,0,12
394,6,9,15,12,0,2,0,9,4,1,1,12
395,8,9,6,4,4,1,0,3,12,0,4,12
396,8,0,6,6,8,2,2,6,4,2,2,12
398,6,9,15,6,0,1,4,6,4,4,1,12
399,0,0,6,10,12,4,2,3,8,2,3,12
400,8,6,10,6,8,2,2,0,14,2,0,12
401,0,0,10,10,6,1,12,9,4,3,1,12
402,4,9,6,6,0,1,12,6,4,4,2,12
403,6,3,0,4,4,1,3,12,8,3,2,12
404,12,15,3,16,0,0,9,3,0,3,1,7
405,4,6,0,10,14,2,2,6,0,2,4,12
407,14,3,0,4,12,1,3,3,12,3,1,12
408,6,12,10,4,12,2,6,0,0,3,2,12
410,10,3,3,4,6,2,3,6,4,3,3,12
412,12,9,6,10,6,1,6,3,8,3,0,12
413,4,12,3,14,6,1,6,6,0,6,0,12
414,4,9,15,8,4,1,5,3,8,5,0,12
415,16,9,3,8,10,0,1,0,8,1,1,12
416,8,9,6,4,4,1,0,6,4,2,4,12
417,4,6,10,0,6,1,3,3,8,3,2,12
420,4,18,15,0,0,3,2,0,4,2,3,7
422,0,3,0,12,30,2,1,0,4,1,4,7
424,8,9,0,4,6,2,6,6,4,3,2,12
425,4,6,6,4,0,1,6,9,12,3,2,12
427,8,9,15,6,0,0,0,6,4,4,2,7
428,10,24,21,2,0,1,0,0,8,2,0,3
430,10,9,6,6,0,2,3,6,8,3,1,12
432,8,9,0,6,12,1,0,3,12,1,3,12
433,14,0,3,6,10,2,0,9,8,1,1,12
434,0,18,15,6,8,1,4,3,0,4,1,12
435,10,6,6,6,4,0,4,9,12,2,1,12
437,12,6,3,2,0,1,6,0,12,3,3,12
439,10,3,3,4,12,1,0,3,12,2,3,12
440,4,6,6,6,0,2,5,6,8,5,2,12
442,8,3,0,6,20,2,2,6,0,2,3,12
443,8,9,6,6,0,0,0,9,8,3,3,7
444,0,0,10,6,22,2,0,3,12,1,3,7
445,0,12,10,10,16,1,2,3,0,2,3,12
446,0,12,15,0,2,1,2,3,16,2,3,12
447,4,9,6,4,12,1,6,0,10,3,0,12
449,2,15,15,4,2,0,12,0,4,3,1,12
450,6,9,15,12,0,1,0,6,4,1,2,12
451,10,0,10,6,0,1,3,12,8,3,0,7
452,8,0,3,6,14,2,2,6,12,2,0,12
453,4,3,10,4,4,1,4,3,8,4,2,12
456,10,0,10,12,8,2,8,0,0,4,1,7
457,16,18,3,6,0,1,1,0,8,1,2,12
458,2,0,10,10,8,0,0,9,12,1,2,7
460,6,6,15,4,10,2,2,3,4,2,1,12
461,2,6,6,0,2,1,9,15,4,3,0,12
462,0,0,3,6,16,2,8,6,12,4,1,12
463,22,6,3,8,0,2,2,0,4,2,2,12
464,6,9,0,10,6,1,0,12,4,3,2,12
465,10,0,6,8,16,2,0,3,8,1,2,12
466,12,6,10,6,0,1,2,6,8,2,2,12
467,4,0,10,10,16,2,0,6,4,5,0,7
468,8,15,15,0,2,1,0,9,0,3,2,7
469,10,0,6,8,20,1,0,3,8,0,2,7
470,10,3,0,12,6,1,6,6,8,3,2,12
471,12,6,6,10,0,1,6,9,8,3,0,12
472,4,6,10,6,0,1,9,3,8,3,2,12
473,6,9,6,0,4,2,9,6,4,3,1,12
474,0,15,10,0,12,3,2,12,4,1,0,7
475,8,3,0,4,8,2,4,6,16,2,0,12
477,8,12,10,6,0,0,4,6,8,4,1,12
478,2,3,3,0,4,1,15,3,8,5,2,12
480,10,6,0,4,10,0,1,3,16,1,2,12
481,16,3,3,2,6,1,4,3,4,2,3,12
482,10,3,3,8,14,2,0,3,8,4,1,12
483,4,0,6,16,8,1,2,3,12,2,1,12
484,16,3,3,6,0,2,3,3,4,3,3,12
485,6,3,3,8,0,1,9,3,12,3,3,12
490,10,0,10,4,12,1,1,0,16,1,2,12
492,6,6,10,8,10,0,0,3,8,3,1,12
496,0,9,6,4,18,2,0,6,8,4,1,12
497,4,9,6,10,6,1,3,12,4,3,0,12
498,0,6,10,12,16,1,8,0,4,4,1,12
500,18,9,3,8,6,1,4,0,4,4,1,12
501,4,6,15,8,10,1,4,0,12,2,0,12
503,4,3,3,8,18,3,12,3,0,4,0,12
504,4,6,10,6,0,0,10,3,12,5,0,7
505,4,6,3,8,22,4,0,6,4,1,2,12
506,4,21,3,0,4,1,0,6,4,1,4,12
507,0,12,15,0,2,1,4,6,4,4,2,12
508,2,9,15,10,0,2,3,3,4,3,2,12
509,6,6,6,4,6,2,8,3,4,4,2,12
510,8,6,6,8,8,2,0,6,8,3,1,12
511,6,15,3,0,2,1,2,3,8,2,4,12
512,6,6,10,4,22,3,0,3,4,1,2,12
513,2,6,10,6,4,1,7,3,0,7,2,12
515,4,9,6,4,8,1,0,3,18,1,1,12
516,0,12,3,4,0,2,3,6,16,3,2,12
517,16,9,3,4,12,1,0,9,8,1,0,12
518,14,3,3,4,6,0,6,3,12,3,1,12
519,0,12,3,8,8,0,1,12,4,1,2,12
521,6,3,3,8,16,0,6,3,8,3,2,12
524,4,0,10,18,12,2,0,3,4,1,2,12
525,10,0,0,8,6,1,6,9,8,3,2,12
526,10,9,6,10,8,0,2,3,4,2,1,12
527,8,9,0,8,14,0,1,12,8,1,0,7
528,4,12,0,0,2,1,5,3,14,5,1,12
531,8,0,10,12,0,1,8,3,4,4,1,12
533,10,12,15,2,2,0,0,9,4,2,1,12
534,6,3,3,8,0,3,12,3,8,4,0,12
536,0,12,15,4,12,1,0,3,8,2,2,12
537,2,6,6,0,6,1,2,12,12,2,1,12
538,6,9,3,12,0,2,8,0,8,4,1,12
539,10,9,6,8,6,1,2,12,4,2,0,12
540,8,6,10,2,8,1,0,9,4,2,1,12
541,4,9,3,6,2,0,0,6,12,3,3,12
542,6,6,0,10,0,2,10,3,8,5,1,12
543,8,12,0,4,8,2,3,0,12,3,2,12
546,12,6,3,2,0,1,0,3,16,2,3,12
547,8,3,0,4,14,1,3,6,12,3,1,12
549,8,6,15,2,0,0,2,9,8,2,2,12
550,2,9,15,6,0,3,0,6,8,5,0,7
551,4,9,3,4,8,1,0,6,8,3,3,12
552,2,6,6,12,12,0,2,0,8,2,3,12
554,4,0,10,6,16,1,2,6,8,2,2,12
555,8,12,15,6,0,1,0,6,12,1,1,12
556,2,0,10,8,4,0,9,3,8,3,3,12
557,4,6,6,16,12,1,0,6,4,1,2,12
560,10,0,10,6,8,2,4,3,0,4,1,12
561,16,6,3,4,8,0,0,9,4,1,2,12
563,10,12,15,6,6,1,0,3,4,1,3,12
566,10,6,3,6,4,0,8,6,0,4,2,12
567,2,15,10,2,4,1,0,6,18,1,1,12
570,4,3,3,6,0,1,2,15,12,2,2,12
571,16,12,10,4,4,0,0,3,8,1,1,12
572,12,0,15,8,16,0,2,3,4,2,0,7
573,20,12,6,10,0,0,0,9,4,3,0,3
574,6,9,6,6,8,3,4,3,8,4,0,12
576,0,0,10,6,0,1,4,12,12,4,2,7
579,0,18,15,0,6,3,3,12,0,1,0,3
580,16,12,0,10,8,2,1,3,8,1,0,12
581,8,6,3,14,0,2,8,3,4,4,1,12
582,10,6,3,6,2,0,12,3,8,6,0,12
583,0,6,6,6,12,1,4,6,8,4,1,12
584,0,9,3,8,6,1,0,9,4,5,1,12
585,10,0,0,4,20,1,1,12,8,1,1,12
586,10,6,6,0,8,1,5,0,8,5,1,12
588,4,6,6,8,6,1,2,6,12,2,2,12
589,6,0,10,6,0,2,6,6,8,3,1,12
590,8,3,3,6,6,1,12,3,8,4,1,12
593,6,9,0,10,0,1,5,3,8,5,2,12
594,16,3,6,12,0,1,6,0,8,3,1,12
596,6,6,0,4,8,0,8,9,4,4,2,12
597,4,6,15,2,2,0,6,6,8,3,2,12
599,6,6,0,6,4,1,1,3,16,1,3,12
601,0,0,6,4,12,1,2,9,8,2,4,12
602,6,0,0,8,14,2,4,3,4,2,4,12
604,4,3,0,8,14,1,6,9,4,3,2,12
605,2,9,15,2,2,0,3,3,16,3,2,12
606,4,9,6,12,0,1,9,0,8,3,2,12
607,8,12,10,4,0,1,0,6,4,1,2,12
608,8,12,10,8,0,0,0,6,12,1,2,7
610,2,12,15,4,0,2,0,3,8,3,3,12
611,8,6,10,2,0,0,2,6,8,2,2,12
614,10,6,0,8,0,0,8,9,12,4,1,7
615,8,6,3,0,12,3,3,3,8,3,1,12
616,4,6,3,0,4,1,3,12,12,3,1,12
617,4,0,15,2,4,1,8,0,12,4,1,12
618,4,12,21,6,0,2,0,3,8,1,1,12
620,2,6,10,6,0,1,5,0,16,5,1,12
621,6,6,6,14,10,2,0,9,0,1,2,12
622,8,9,6,10,8,2,9,3,0,3,0,12
625,4,0,6,12,14,1,0,9,0,3,3,7
626,6,9,6,6,0,2,0,6,16,1,2,12
627,10,6,10,6,0,0,4,9,4,4,1,12
629,8,6,10,4,2,0,2,9,12,2,1,12
630,6,21,15,6,4,0,4,0,4,4,0,7
631,6,6,6,14,10,2,2,6,4,2,1,12
632,2,9,15,0,0,2,0,6,16,2,2,7
633,4,6,6,4,2,0,4,6,12,4,2,12
634,10,12,10,0,6,2,0,3,4,0,5,7
635,0,0,0,24,10,2,3,6,4,3,2,7
638,12,6,6,6,0,2,10,0,4,5,1,12
639,6,15,0,12,4,0,2,6,8,2,2,12
640,4,6,10,6,16,1,3,3,0,3,3,12
642,4,6,0,6,4,1,4,12,8,4,2,12
643,10,0,3,10,6,1,6,0,12,3,2,12
644,6,6,6,6,18,3,0,6,4,1,3,12
645,0,12,16,4,4,1,3,9,4,3,1,12
647,8,6,10,0,18,3,1,3,8,1,0,12
648,6,6,6,12,0,2,0,6,4,1,4,12
649,12,3,3,2,8,1,1,9,8,1,1,12
650,0,0,10,6,16,1,6,6,8,3,1,12
651,0,0,6,8,4,1,7,9,4,7,2,12
652,4,3,0,4,8,3,9,12,0,3,1,12
653,4,6,6,8,22,1,0,3,4,1,3,12
654,4,3,3,6,26,2,0,6,0,1,3,12
655,4,3,3,10,0,1,0,9,16,3,2,12
656,4,6,6,10,0,2,0,3,12,3,3,12
658,8,9,6,10,16,2,0,6,4,1,1,12
660,8,3,0,8,6,1,0,3,16,2,3,12
661,14,9,0,6,6,1,2,9,0,2,2,12
662,10,6,0,8,12,1,0,3,18,1,0,7
663,8,15,10,0,0,1,6,3,12,3,1,12
664,2,6,6,0,8,2,4,6,8,4,1,12
665,18,6,6,8,12,1,0,0,4,1,3,12
666,16,18,0,4,14,2,1,6,0,1,1,12
667,10,6,10,2,4,1,0,6,4,4,2,12
668,8,0,6,12,8,0,2,6,12,2,1,12
669,4,0,3,10,6,1,3,3,10,3,3,12
670,10,12,6,8,10,1,0,6,0,1,3,12
671,2,9,15,6,0,2,2,6,4,2,3,12
672,2,0,3,8,10,0,14,3,4,7,1,12
673,10,3,6,8,8,2,4,6,0,4,2,12
674,6,6,15,4,0,0,0,6,12,2,2,7
675,10,12,15,4,0,1,3,3,4,3,2,12
676,2,12,10,0,0,0,4,9,12,4,1,7
678,6,9,6,10,0,1,8,9,4,4,0,12
679,12,0,3,4,8,0,3,9,8,3,1,12
680,6,15,10,4,6,3,0,3,8,0,2,12
681,0,0,6,16,4,0,2,9,16,2,1,7
682,16,3,3,6,8,1,0,6,8,1,3,12
683,2,0,0,8,12,1,2,9,18,2,1,12
686,6,9,6,0,4,2,6,6,12,3,0,12
687,18,6,3,8,0,0,4,0,4,4,4,7
688,16,6,0,2,0,1,5,3,12,5,1,12
690,8,3,10,4,10,4,2,3,4,2,2,12
691,4,0,3,4,12,1,3,9,4,3,3,12
692,4,15,10,0,2,1,6,9,0,3,2,12
693,10,15,15,2,0,0,2,6,4,1,2,12
694,6,12,10,0,4,2,1,6,4,1,1,12
696,0,12,15,10,0,0,2,9,4,2,3,7
697,2,0,10,4,6,2,10,0,4,5,3,12
698,0,9,15,0,2,1,2,6,16,2,2,12
700,10,15,10,6,2,0,0,6,0,4,1,7
701,4,6,0,6,4,1,2,3,18,2,3,12
702,2,12,10,2,12,1,4,0,4,4,2,12
703,16,3,6,8,0,1,4,6,0,4,2,12
704,12,15,3,8,0,0,0,6,8,1,3,7
705,6,12,10,8,0,1,9,0,8,3,2,12
